rollup_timestamp	database	value
2019-04-16	8237bf33-d19c-4910-9206-c6d43f0b498f	9.0
2019-04-17	8237bf33-d19c-4910-9206-c6d43f0b498f	612.0
2019-04-18	8237bf33-d19c-4910-9206-c6d43f0b498f	498.0
2019-04-19	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2019-04-20	8237bf33-d19c-4910-9206-c6d43f0b498f	556.0
2019-04-21	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2019-04-22	8237bf33-d19c-4910-9206-c6d43f0b498f	511.0
2019-04-23	8237bf33-d19c-4910-9206-c6d43f0b498f	539.0
2019-04-24	8237bf33-d19c-4910-9206-c6d43f0b498f	796.0
2019-04-25	8237bf33-d19c-4910-9206-c6d43f0b498f	54.0
2019-04-26	8237bf33-d19c-4910-9206-c6d43f0b498f	501.0
2019-04-27	8237bf33-d19c-4910-9206-c6d43f0b498f	593.0
2019-04-28	8237bf33-d19c-4910-9206-c6d43f0b498f	507.0
2019-04-29	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
2019-04-30	8237bf33-d19c-4910-9206-c6d43f0b498f	794.0
2019-05-01	8237bf33-d19c-4910-9206-c6d43f0b498f	595.0
2019-05-02	8237bf33-d19c-4910-9206-c6d43f0b498f	486.0
2019-05-03	8237bf33-d19c-4910-9206-c6d43f0b498f	561.0
2019-05-04	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2019-05-05	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2019-05-06	8237bf33-d19c-4910-9206-c6d43f0b498f	493.0
2019-05-07	8237bf33-d19c-4910-9206-c6d43f0b498f	686.0
2019-05-08	8237bf33-d19c-4910-9206-c6d43f0b498f	781.0
2019-05-09	8237bf33-d19c-4910-9206-c6d43f0b498f	558.0
2019-05-10	8237bf33-d19c-4910-9206-c6d43f0b498f	487.0
2019-05-11	8237bf33-d19c-4910-9206-c6d43f0b498f	631.0
2019-05-12	8237bf33-d19c-4910-9206-c6d43f0b498f	496.0
2019-05-13	8237bf33-d19c-4910-9206-c6d43f0b498f	559.0
2019-05-14	8237bf33-d19c-4910-9206-c6d43f0b498f	777.0
2019-05-15	8237bf33-d19c-4910-9206-c6d43f0b498f	698.0
2019-05-16	8237bf33-d19c-4910-9206-c6d43f0b498f	501.0
2019-05-17	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2019-05-18	8237bf33-d19c-4910-9206-c6d43f0b498f	554.0
2019-05-19	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2019-05-20	8237bf33-d19c-4910-9206-c6d43f0b498f	506.0
2019-05-21	8237bf33-d19c-4910-9206-c6d43f0b498f	648.0
2019-05-22	8237bf33-d19c-4910-9206-c6d43f0b498f	821.0
2019-05-23	8237bf33-d19c-4910-9206-c6d43f0b498f	54.0
2019-05-24	8237bf33-d19c-4910-9206-c6d43f0b498f	509.0
2019-05-25	8237bf33-d19c-4910-9206-c6d43f0b498f	597.0
2019-05-26	8237bf33-d19c-4910-9206-c6d43f0b498f	506.0
2019-05-27	8237bf33-d19c-4910-9206-c6d43f0b498f	541.0
2019-05-28	8237bf33-d19c-4910-9206-c6d43f0b498f	63.0
2019-05-29	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2019-05-30	8237bf33-d19c-4910-9206-c6d43f0b498f	501.0
2019-05-31	8237bf33-d19c-4910-9206-c6d43f0b498f	547.0
2019-06-01	8237bf33-d19c-4910-9206-c6d43f0b498f	545.0
2019-06-02	8237bf33-d19c-4910-9206-c6d43f0b498f	539.0
2019-06-03	8237bf33-d19c-4910-9206-c6d43f0b498f	515.0
2019-06-04	8237bf33-d19c-4910-9206-c6d43f0b498f	658.0
2019-06-05	8237bf33-d19c-4910-9206-c6d43f0b498f	773.0
2019-06-06	8237bf33-d19c-4910-9206-c6d43f0b498f	557.0
2019-06-07	8237bf33-d19c-4910-9206-c6d43f0b498f	488.0
2019-06-08	8237bf33-d19c-4910-9206-c6d43f0b498f	626.0
